Date,Column,Sample_set,,,,,
170410,HILIC,KM1513,,,,,
170413,RP,KM1513,,,,,
170419,RP,KOK1606,,,,,
170425,RP,KOK1606,,,,,
180702,HILIC,MGL1704,,,,,
180716,RP,MGL1704,,,,,
161107,HILIC,"2090, 371, Cy, To, Tp",,,,,
161110,RP,"2090, 371, Cy, To, Tp",,,,,
161114,HILIC,"7803, 8102, 8501, MED4",,,,,
161118,RP,"7803, 8102, 8501, MED4",,,,,
170213,HILIC,"Pc55x, Np, Pt",,,,,
170216,RP,"Pc55x, Np, Pt",,,,,
170821,HILIC,"1314P, As9601, Nat, 1314, 1545, 1771, 2021, 449",,,,,
170828,RP,"1314P, As9601, Nat, 1314, 1545, 1771, 2021, 449",,,,,
180227,HILIC,3430,,,,,
180302,RP,3430,,,,,