Identification,Identification_Matched
4-Hydroxyisoleucine,Leucine
Acetyl-L-carnitine,Betaine
Argininosuccinic Acid,Arginine
Arsenobetaine,Betaine
beta-Alanine,Alanine
Betonicine,Betaine
Butyryl-L-carnitine,Betaine
Carnitine,Betaine
Citrulline,Arginine
Deoxyadenosine,Guanosine
Dexpanthenol,Serine
Dimethylsulfonioacetate (DMS-Ac),DMSP
Glucosylglycerol,Serine
Glycerophosphocholine,Betaine
Gonyol,DMSP
Homoserine,Threonine
Methionine Sulfoxide,Methionine
N(e)-Acetyl-Lysine,Arginine
Ornithine,Glutamine
Propionyl-L-carnitine,Betaine
Stachydrine hydrochloride,Proline
Trigonelline,Homarine
Trimethylammonium Propionate (TMAP),Betaine
Inosine,Uridine
L-Pyroglutamic acid,DHPS
Sucrose,Trehalose
Glutathione Disulfide,Phenylalanine
Agmatine,Phenylalanine
Allopurinol,Phenylalanine
beta-Glutamic acid,Glutamic acid