Replicate.Name,Blank.Name
161114_Smp_7803_B,161114_Blk_MediaBlk_C
161114_Smp_7803_F,161114_Blk_MediaBlk_C
161114_Smp_8102_A,161114_Blk_MediaBlk_C
161114_Smp_8102_F,161114_Blk_MediaBlk_C
161114_Smp_8501_B,161114_Blk_MediaBlk_A
161114_Smp_8501_C,161114_Blk_MediaBlk_A
161114_Smp_8501_D,161114_Blk_MediaBlk_A
161114_Smp_MED4_D,161114_Blk_MediaBlk_C
161114_Smp_MED4_E,161114_Blk_MediaBlk_C
161114_Smp_MED4_F,161114_Blk_MediaBlk_C
170821_Smp_1314P_A,170821_Blk_FilterBlk_1314P
170821_Smp_1314P_B,170821_Blk_FilterBlk_1314P
170821_Smp_1314P_C,170821_Blk_FilterBlk_1314P
170821_Smp_As9601_A,170821_Blk_FilterBlk_As9601
170821_Smp_As9601_B,170821_Blk_FilterBlk_As9601
170821_Smp_As9601_C,170821_Blk_FilterBlk_As9601
170821_Smp_Nat_A,170821_Blk_FilterBlk_Nat
170821_Smp_Nat_B,170821_Blk_FilterBlk_Nat
170821_Smp_Nat_C,170821_Blk_FilterBlk_Nat
161107_Smp_2090_A,161107_Blk_MediaBlk_DiatomC
161107_Smp_2090_B,161107_Blk_MediaBlk_DiatomC
161107_Smp_2090_C,161107_Blk_MediaBlk_DiatomC
161107_Smp_371_A,161107_Blk_MediaBlk_DiatomYBC
161107_Smp_371_B,161107_Blk_MediaBlk_DiatomYBC
161107_Smp_371_C,161107_Blk_MediaBlk_DiatomYBC
161107_Smp_Cy_A,161107_Blk_MediaBlk_DiatomA
161107_Smp_Cy_B,161107_Blk_MediaBlk_DiatomA
161107_Smp_Cy_C,161107_Blk_MediaBlk_DiatomA
161107_Smp_To_A,161107_Blk_MediaBlk_DiatomB
161107_Smp_To_B,161107_Blk_MediaBlk_DiatomB
161107_Smp_To_C,161107_Blk_MediaBlk_DiatomB
161107_Smp_Tp_A,161107_Blk_MediaBlk_DiatomZ
161107_Smp_Tp_E,161107_Blk_MediaBlk_DiatomZ
161107_Smp_Tp_F,161107_Blk_MediaBlk_DiatomZ
170213_Smp_Pc55x_A,170213_Blk_MediaBlk_Pc55x
170213_Smp_Pc55x_B,170213_Blk_MediaBlk_Pc55x
170213_Smp_Pc55x_C,170213_Blk_MediaBlk_Pc55x
170213_Smp_Np_A_rerun,161107_Blk_MediaBlk_DiatomZ
170213_Smp_Np_C_rerun,161107_Blk_MediaBlk_DiatomZ
170213_Smp_Np_F,161107_Blk_MediaBlk_DiatomZ
170213_Smp_Pt_C,161107_Blk_MediaBlk_DiatomZ
170213_Smp_Pt_F_rerun,161107_Blk_MediaBlk_DiatomZ
170821_Smp_1314_A,170821_Blk_FilterBlk_N
170821_Smp_1314_B,170821_Blk_FilterBlk_N
170821_Smp_1314_C,170821_Blk_FilterBlk_N
170821_Smp_1545_A,170821_Blk_FilterBlk_N
170821_Smp_1545_B,170821_Blk_FilterBlk_N
170821_Smp_1545_C,170821_Blk_FilterBlk_N
170821_Smp_1771_A,170821_Blk_FilterBlk_71
170821_Smp_1771_B,170821_Blk_FilterBlk_71
170821_Smp_1771_C,170821_Blk_FilterBlk_71
170821_Smp_2021_A,170821_Blk_FilterBlk_21
170821_Smp_2021_B,170821_Blk_FilterBlk_21
170821_Smp_2021_C,170821_Blk_FilterBlk_21
170821_Smp_449_A,170821_Blk_FilterBlk_49
170821_Smp_449_B,170821_Blk_FilterBlk_49
170821_Smp_449_C,170821_Blk_FilterBlk_49
180227_Smp_3430_A,180227_Blk_MediaBlk_3430
180227_Smp_3430_B,180227_Blk_MediaBlk_3430
180227_Smp_3430_C,180227_Blk_MediaBlk_3430
170821_Smp_1314_A,170821_Blk_FilterBlk_O
170821_Smp_1314_B,170821_Blk_FilterBlk_O
170821_Smp_1314_C,170821_Blk_FilterBlk_O
170821_Smp_1545_A,170821_Blk_FilterBlk_O
170821_Smp_1545_B,170821_Blk_FilterBlk_O
170821_Smp_1545_C,170821_Blk_FilterBlk_O
180227_Smp_P3_A,180227_Blk_MediaBlk_RAC5
180227_Smp_P3_B,180227_Blk_MediaBlk_RAC5
180227_Smp_P3_C,180227_Blk_MediaBlk_RAC5
180227_Smp_P5-5_A,180227_Blk_MediaBlk_RAC5
180227_Smp_P5-5_B,180227_Blk_MediaBlk_RAC5
180227_Smp_P5-5_C,180227_Blk_MediaBlk_RAC5